,Macrophage,B_cell,T_cell,Myoepithelial,Endothelial,Tumor,min_CV
CD68,0.9287869588913991,5.7139061257535895,5.1800900281770135,5.237972097738614,3.018333990717707,5.766805903734236,0.9287869588913991
CXCL12,1.3014780980239802,1.6578982044488089,1.6822776796695633,1.4580582846006624,0.9360779970988073,3.7459098274648266,0.9360779970988073
MMP2,1.1812877607278371,1.3447232949569377,1.3682221795124208,1.1529897757444905,0.9406172402176345,2.4611490081190808,0.9406172402176345
MTHFD2,1.8563055129199744,1.8258977832321248,1.9517782097532659,1.923723049916147,2.1488198433954353,0.9588780550980056,0.9588780550980056
IRAK1,1.8434995719491847,1.7773694869368586,1.9911407596322441,1.9495157011480246,2.127625310969277,0.9918319185979747,0.9918319185979747
LAMB1,1.7724319537129472,1.8889022319608433,2.117228954088403,1.466811189317993,0.9927203249350603,1.9350471756593033,0.9927203249350603
ARHGDIB,1.0288089752825549,1.4285176032944646,1.1297777428046774,1.4701474691435854,1.000500248691381,1.3714563377043798,1.000500248691381
ANKRD17,2.000134664928496,1.7412386259950905,1.8988681641085416,1.841236862418228,1.9834531278490801,1.0018472922015118,1.0018472922015118
LUC7L3,1.623335069401552,1.4896468600315171,1.6260159599384,1.3777238381536965,1.443558910427987,1.0097033630993517,1.0097033630993517
RGS5,2.564184187757495,2.680590383240053,3.0342215406480837,1.8094564494795498,1.0126232272812707,2.978674521843487,1.0126232272812707
CHI3L1,2.316939013742817,1.7983486984374717,2.0585932121124757,2.2187060727695074,3.638491157168149,1.0155784713564453,1.0155784713564453
TACSTD2,2.575346273410613,2.102748267269617,2.332518017114128,1.9741929378962415,4.074181520700287,1.0190273532778926,1.0190273532778926
RER1,1.6852884766747518,1.6562561269711378,1.754179821556136,1.6624045734591706,1.6526213071497986,1.0312691317863043,1.0312691317863043
SERPINA3,2.159662973484811,1.9314024634388882,2.170340588461193,1.3701628958513352,2.896333880952131,1.0328918260815776,1.0328918260815776
GUSB,1.836156597185947,1.7293195806346255,1.8722669812945725,1.7602301020961233,1.8261495987399101,1.0485216559826698,1.0485216559826698
DNAJC3,1.5752762823018773,1.6863629105455977,1.78189242074686,1.6702174332398163,1.519636353421515,1.0498812778881765,1.0498812778881765
TFAP2A,2.7532579458735023,2.001064224074012,2.282676863855076,1.965415877733874,4.121571656834457,1.063319320622028,1.063319320622028
NPY1R,2.8504849026997965,1.9854350804283905,2.2351086986767186,2.712328925340841,3.885558099107305,1.1092956004183503,1.1092956004183503
TIMP1,1.2409168510734778,1.582978551349056,1.6081142478052903,1.267589581242156,1.1102867489648425,1.4091820531072499,1.1102867489648425
CD3E,3.1407971858553445,5.482696088301605,1.110877795044578,6.34709349141304,4.297168948130022,6.754955264922658,1.110877795044578
